CLF Configuration,precision-train,recall-train,specificity-train,fscore-train,accuracy-train,misclassified-train,precision-val,recall-val,specificity-val,fscore-val,accuracy-val,misclassified-val,indices
AdaBoostClassifier - 5 features,32.1194,26.527,32.563,17.7138,26.527,5437.0,27.4246,25.6103,37.4131,11.5625,15.2312,5059.0,
ExtraTreesClassifier - 5 features,82.7109,43.9459,25.0,42.0367,43.9459,4148.0,25.9396,25.3416,39.6751,12.9809,16.2701,4997.0,
RandomForectClassifier - 5 features,78.4005,42.2703,26.2642,39.6541,42.2703,4272.0,26.1491,25.2437,39.3839,12.7406,16.2198,5000.0,
XGBoostClassifier - 5 features,78.5675,42.5811,26.1857,40.2126,42.5811,4249.0,25.783,25.1685,39.6219,12.9489,16.2701,4997.0,
AdaBoostClassifier - 7 features,29.4722,27.9595,45.5636,25.2074,27.9595,5331.0,26.7628,26.2438,48.2011,25.0843,38.9745,3642.0,
ExtraTreesClassifier - 7 features,49.3665,45.473,46.1925,45.0901,45.473,4035.0,26.4108,26.2013,51.8606,25.7008,36.5952,3784.0,
RandomForectClassifier - 7 features,48.7303,44.8649,46.2008,44.4482,44.8649,4080.0,26.2619,26.033,51.7576,25.503,36.5617,3786.0,
XGBoostClassifier - 7 features,54.9503,44.3378,43.9339,43.555,44.3378,4119.0,27.0343,26.7048,49.1047,25.2837,37.1649,3750.0,
AdaBoostClassifier - 10 features,29.9356,29.4324,46.8856,27.0853,29.4324,5222.0,25.8018,25.65,49.1024,23.402,33.0429,3996.0,
ExtraTreesClassifier - 10 features,100.0,100.0,,100.0,100.0,0.0,25.9562,25.5562,55.4115,22.6807,26.2399,4402.0,
RandomForectClassifier - 10 features,100.0,100.0,,100.0,100.0,0.0,25.6634,25.0902,55.3408,22.4101,26.1227,4409.0,
XGBoostClassifier - 10 features,74.7627,74.7297,49.9589,74.7292,74.7297,1870.0,25.202,24.4272,55.1433,22.1721,26.3908,4393.0,
AdaBoostClassifier - 15 features,31.0169,30.7973,48.8741,30.1578,30.7973,5121.0,25.8684,25.6563,53.6467,24.7679,33.3613,3977.0,
ExtraTreesClassifier - 15 features,100.0,100.0,,100.0,100.0,0.0,25.5421,24.9717,55.2075,22.5789,26.7426,4372.0,
RandomForectClassifier - 15 features,100.0,100.0,,100.0,100.0,0.0,26.1296,25.5063,55.1539,23.0432,27.2621,4341.0,
XGBoostClassifier - 15 features,88.5895,88.5676,49.8991,88.5689,88.5676,846.0,25.2168,24.3277,55.1673,22.0072,26.0724,4412.0,
AdaBoostClassifier - 20 features,31.4765,31.1081,48.117,30.0743,31.1081,5098.0,27.1264,27.3164,52.5933,26.6973,37.8854,3707.0,
ExtraTreesClassifier - 20 features,100.0,100.0,,100.0,100.0,0.0,26.2872,25.7209,54.8735,23.6681,28.7701,4251.0,
RandomForectClassifier - 20 features,100.0,100.0,,100.0,100.0,0.0,26.0775,25.3034,54.8354,23.326,28.4182,4272.0,
XGBoostClassifier - 20 features,88.6347,88.6081,49.9347,88.6072,88.6081,843.0,25.4506,24.3783,55.0023,22.2318,26.6756,4376.0,
AdaBoostClassifier - -1 features,32.1906,32.0676,48.6241,31.0968,32.0676,5027.0,26.8053,26.6613,52.89,25.8936,35.6903,3838.0,
ExtraTreesClassifier - -1 features,100.0,100.0,,100.0,100.0,0.0,26.4624,25.8482,54.9401,23.6164,28.4182,4272.0,
RandomForectClassifier - -1 features,100.0,100.0,,100.0,100.0,0.0,26.5856,26.2953,54.9233,24.0708,29.055,4234.0,
XGBoostClassifier - -1 features,96.0763,96.0676,50.4961,96.0658,96.0676,291.0,26.3833,25.9265,55.1354,23.4541,27.8318,4307.0,
"AdaBoostClassifier & hyperparams = {'n_estimators': 20, 'base_estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 0.3}",36.3901,34.6892,46.384,33.1115,34.6892,4833.0,27.325,27.4632,51.222,27.0613,40.4993,3551.0,adaboostclassifier
