CLF Configuration,precision-train,recall-train,specificity-train,fscore-train,accuracy-train,misclassified-train,precision-val,recall-val,specificity-val,fscore-val,accuracy-val,misclassified-val
AdaBoostClassifier S1,50.1728,45.5362,45.7409,46.0802,55.2288,137.0,22.2865,24.3299,47.1621,22.6687,34.0909,87.0
XGBoost S1,100.0,100.0,,100.0,100.0,0.0,29.613,29.8611,47.9416,29.24,38.6364,81.0
AdaBoostClassifier S2,53.3802,47.6119,43.9594,48.6377,53.2374,195.0,32.5162,29.1667,44.086,28.1045,36.6667,114.0
XGBoost S2,100.0,100.0,,100.0,100.0,0.0,31.0726,30.9028,48.0731,30.483,37.2222,113.0
AdaBoostClassifier S3,42.0733,39.1474,46.0829,39.0163,46.7312,220.0,29.7156,29.5898,45.9108,28.0626,37.8531,110.0
XGBoost S3,100.0,100.0,,100.0,100.0,0.0,35.5267,33.9448,46.6247,33.5225,41.8079,103.0
AdaBoostClassifier S4,54.5361,48.074,44.785,49.2647,55.4455,180.0,19.5508,21.3223,47.0955,19.803,29.3103,123.0
XGBoost S4,100.0,100.0,,100.0,100.0,0.0,28.8145,28.9132,46.6948,27.8509,37.3563,109.0
AdaBoostClassifier S5,48.1609,42.9718,44.7521,43.6736,50.6083,203.0,28.8989,28.9948,46.0695,27.8366,36.1582,113.0
XGBoost S5,100.0,100.0,,100.0,100.0,0.0,23.3754,25.0612,47.1419,23.3959,33.3333,118.0
AdaBoostClassifier S6,51.4688,45.5056,44.4409,46.7003,52.2388,192.0,29.0066,28.1513,46.9538,27.8192,34.104,114.0
XGBoost S6,100.0,100.0,,100.0,100.0,0.0,29.4797,28.4874,46.3475,28.0716,34.6821,113.0
AdaBoostClassifier S7,51.4661,47.7396,47.2794,48.3132,54.5673,189.0,34.6385,34.246,47.3834,33.1667,41.3408,105.0
XGBoost S7,100.0,100.0,,100.0,100.0,0.0,27.0782,27.5298,48.8194,26.9863,34.6369,117.0
AdaBoostClassifier S8,55.8147,52.5602,48.0395,53.3767,58.7952,171.0,30.3831,30.5475,48.9362,30.1626,37.0787,112.0
XGBoost S8,100.0,100.0,,100.0,100.0,0.0,37.8892,36.9257,47.6627,36.3343,44.9438,98.0
AdaBoostClassifier S9,53.5428,49.2131,46.196,50.285,54.8309,187.0,33.0504,32.6305,47.6269,32.0756,39.8876,107.0
XGBoost S9,100.0,100.0,,100.0,100.0,0.0,28.8488,28.7668,47.3836,28.1566,35.3933,115.0
AdaBoostClassifier S10,43.3371,42.4333,49.0476,42.3787,49.3766,203.0,31.4844,32.3438,48.7912,31.3053,40.6977,102.0
XGBoost S10,100.0,100.0,,100.0,100.0,0.0,33.2756,33.3884,47.803,31.7454,43.6047,97.0
AdaBoostClassifier S11,54.1063,49.5063,45.8857,50.7517,54.4794,188.0,23.0832,25.2579,46.5813,23.1593,32.0225,121.0
XGBoost S11,100.0,100.0,,100.0,100.0,0.0,20.8135,20.9325,45.163,19.7472,28.0899,128.0
AdaBoostClassifier S12,47.0594,42.7787,45.71,43.3065,49.3857,206.0,34.332,30.162,43.086,29.6188,38.2857,108.0
XGBoost S12,100.0,100.0,,100.0,100.0,0.0,30.7219,27.3238,44.4421,26.5425,34.8571,114.0
AdaBoostClassifier S13,51.3998,45.1561,44.5246,45.8763,52.2959,187.0,38.7573,33.9614,42.529,33.031,41.6667,98.0
XGBoost S13,100.0,100.0,,100.0,100.0,0.0,26.4031,25.6434,45.8436,25.1774,31.5476,115.0
AdaBoostClassifier S14,50.1395,46.0044,46.3024,46.7306,52.5907,183.0,29.3382,29.8574,47.4134,28.753,37.3494,104.0
XGBoost S14,100.0,100.0,,100.0,100.0,0.0,24.3446,25.6907,47.3673,24.3688,32.5301,112.0
AdaBoostClassifier S15,45.2273,44.9933,49.4683,44.7925,50.4902,202.0,33.2451,32.8571,48.4037,32.4295,40.0,105.0
XGBoost S15,100.0,100.0,,100.0,100.0,0.0,34.1028,35.3571,48.8301,33.8753,44.0,98.0
AdaBoostClassifier S16,55.2741,51.6182,47.0066,52.6636,57.1429,147.0,27.4011,28.7993,48.2898,27.5743,35.3741,95.0
XGBoost S16,100.0,100.0,,100.0,100.0,0.0,28.2972,28.358,47.3504,27.614,36.0544,94.0
AdaBoostClassifier S17,52.2141,47.7576,46.3951,48.2959,54.6419,171.0,40.0209,37.8314,46.5964,37.3903,45.679,88.0
XGBoost S17,100.0,100.0,,100.0,100.0,0.0,27.0859,29.0128,47.5863,27.0166,37.6543,101.0
AdaBoostClassifier S18,47.1229,43.5451,46.6046,43.984,50.8906,193.0,26.3641,26.582,47.2123,25.7564,33.7278,112.0
XGBoost S18,100.0,100.0,,100.0,100.0,0.0,24.1901,25.7799,46.6815,23.9982,34.3195,111.0
AdaBoostClassifier S19,50.2607,45.8352,47.3071,45.7578,55.9557,159.0,36.6355,35.7231,45.9374,33.605,47.7419,81.0
XGBoost S19,100.0,100.0,,100.0,100.0,0.0,36.8872,36.5411,48.7394,35.4784,49.0323,79.0
AdaBoostClassifier S20,49.7313,46.1388,46.8998,46.2774,54.1667,176.0,29.6247,29.9242,45.7474,28.1724,38.7879,101.0
XGBoost S20,100.0,100.0,,100.0,100.0,0.0,30.2786,31.4394,46.0904,29.1685,41.2121,97.0
AdaBoostClassifier S21,49.8325,46.611,47.3836,47.0138,53.2213,167.0,27.0581,26.8187,46.1748,25.7177,33.7662,102.0
XGBoost S21,100.0,100.0,,100.0,100.0,0.0,28.5966,28.3543,47.2409,27.7456,35.0649,100.0
AdaBoostClassifier S22,52.6926,45.6906,44.2286,46.743,54.3243,169.0,27.3273,28.1508,46.0152,26.4476,37.7358,99.0
XGBoost S22,100.0,100.0,,100.0,100.0,0.0,27.9422,27.8862,45.8069,26.6788,37.1069,100.0
AdaBoostClassifier S23,54.958,50.1188,45.9673,51.2839,56.0976,162.0,26.2356,26.2569,48.0152,25.8571,33.3333,106.0
XGBoost S23,100.0,100.0,,100.0,100.0,0.0,33.785,32.4708,47.3545,32.3813,40.2516,95.0
AdaBoostClassifier S24,56.0731,48.8031,43.1317,50.6812,53.494,193.0,23.6373,25.119,47.0289,23.6181,32.9609,120.0
XGBoost S24,100.0,100.0,,100.0,100.0,0.0,26.9135,26.1409,46.1183,25.6641,32.4022,121.0
